Page,Source,Device Category,Landing Page,Social Source Referral,Pageviews,Sessions,Connect to Provider (Goal 1 Completions),Avg. Time on Page,Hits,Session Duration,Users
/blog/falls-are-preventable-heres-how/,m.facebook.com,mobile,/blog/falls-are-preventable-heres-how/,Yes,4,4,0,0.00,4,0.00,4
/community-resources/,(direct),desktop,/community-resources/,No,4,4,0,31.00,4,154.00,4
/contact/,(direct),desktop,/,No,4,0,0,34.00,4,0.00,4
/end-of-life-planning/,mylivingobituary.com,desktop,/,No,4,0,0,26.75,4,0.00,1
/events/,(direct),desktop,/,No,4,0,0,20.67,4,0.00,4
/in-home-care/,(direct),desktop,/,No,4,0,0,65.00,4,0.00,4
/participating-providers/,alittlehelp.org,mobile,/participating-providers/,No,4,3,0,81.00,4,189.00,3
/participating-providers/,google,desktop,/participating-providers/,No,4,3,0,576.00,5,2133.00,3
/participating-providers/,mylivingobituary.com,desktop,/,No,4,0,0,36.00,4,0.00,2
/provider/care-matters-always/,bing,desktop,/provider/care-matters-always/,No,4,2,0,23.00,6,91.00,2
/provider/compassion-and-choices/,google,desktop,/provider/compassion-and-choices/,No,4,2,0,21.33,5,635.00,1
/provider/larimer-county-office-on-aging/,google,desktop,/provider/larimer-county-office-on-aging/,No,4,3,0,15.00,4,220.00,3
/provider/number-1-son-home-maintenance/,alittlehelp.org,desktop,/participating-providers/,No,4,0,0,121.50,5,0.00,2
/provider/nymbl-science/,duckduckgo,tablet,/provider/nymbl-science/,No,4,1,0,62.67,5,1088.00,1
/provider/pamela-d-wilson-inc/,google,mobile,/provider/pamela-d-wilson-inc/,No,4,4,0,199.00,4,199.00,4
/provider/state-unit-on-aging/,(direct),desktop,/provider/state-unit-on-aging/,No,4,4,0,5.00,4,5.00,4
/,coloradononprofits.org,desktop,/,No,3,2,0,14.00,3,121.00,2
/,duckduckgo,tablet,/provider/nymbl-science/,No,3,0,0,22.67,3,0.00,1
/,l.facebook.com,mobile,/,Yes,3,3,0,50.00,3,100.00,3
/,mylivingobituary.com,desktop,/,No,3,3,0,414.33,3,1550.00,3
/,srcaging.org,mobile,/,No,3,1,0,359.50,3,1661.00,1
/,trustedtransitionsofco.com,desktop,/,No,3,3,0,41.00,3,49.00,3
/about/,google,desktop,/directory-submission-form/,No,3,0,0,591.50,3,0.00,2
/about/,lm.facebook.com,mobile,/,Yes,3,0,0,449.50,3,0.00,1
/blog/estate-planning-for-seniors-in-colorado/,google,desktop,/blog/estate-planning-for-seniors-in-colorado/,No,3,3,0,0.00,4,0.00,3
/blog/falls-are-preventable-heres-how/,(direct),tablet,/blog/falls-are-preventable-heres-how/,No,3,3,0,0.00,3,0.00,3
/blog/falls-are-preventable-heres-how/?fbclid=IwAR0CMs3uQ69tEHMcP-Jvr5C1X4LlG_8LpPl9CjCWquGJ7Uz9OrAHF91fcNY,(direct),mobile,/blog/falls-are-preventable-heres-how/?fbclid=IwAR0CMs3uQ69tEHMcP-Jvr5C1X4LlG_8LpPl9CjCWquGJ7Uz9OrAHF91fcNY,No,3,3,0,0.00,3,0.00,1
/blog/falls-are-preventable-heres-how/?fbclid=IwAR20PfDW5IRkANJgClbfRGNt7H20vBOn-GBMbuSYEk0AYzXJ-6-UFGiAPh4,l.facebook.com,mobile,/blog/falls-are-preventable-heres-how/?fbclid=IwAR20PfDW5IRkANJgClbfRGNt7H20vBOn-GBMbuSYEk0AYzXJ-6-UFGiAPh4,Yes,3,3,0,0.00,3,0.00,1
/blog/falls-are-preventable-heres-how/?fbclid=IwAR23Z8KYl3JvPX6uq1YjBg7r_9qUu3UrZhgYa7McUbNfPP8dfmv-R3BoGsc,l.facebook.com,mobile,/blog/falls-are-preventable-heres-how/?fbclid=IwAR23Z8KYl3JvPX6uq1YjBg7r_9qUu3UrZhgYa7McUbNfPP8dfmv-R3BoGsc,Yes,3,1,0,123.50,3,248.00,1
/blog/falls-are-preventable-heres-how/?fbclid=IwAR2ONUb7jaXePaKZ96yisVwjiB-BKREb932lktXUruIRqaTkcjtYT0H4CwA,l.facebook.com,mobile,/blog/falls-are-preventable-heres-how/?fbclid=IwAR2ONUb7jaXePaKZ96yisVwjiB-BKREb932lktXUruIRqaTkcjtYT0H4CwA,Yes,3,1,0,47.00,3,262.00,1
